Name Hash,Disambiguation,BG Color 0x00,BG Color 0x01,BG Color 0x02,BG Color 0x03,OBJ0 Color 0x00,OBJ0 Color 0x01,OBJ0 Color 0x02,OBJ0 Color 0x03,OBJ1 Color 0x00,OBJ1 Color 0x01,OBJ1 Color 0x02,OBJ1 Color 0x03
0xBD,,#FFFFFF,#7BFF31,#008400,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#FF8484,#943A3A,#000000
0x28,0x46,#FFFFFF,#7BFF31,#008400,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#FF8484,#943A3A,#000000
0x97,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0x39,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0x43,,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0xA5,0x52,#FFFFFF,#FFAD63,#843100,#000000,#FFFFFF,#7BFF31,#008400,#000000,#FFFFFF,#7BFF31,#008400,#000000
0x00,,#FFFFFF,#7BFF31,#0063C5,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#FF8484,#943A3A,#000000
0x3F,,#FFFFFF,#7BFF31,#0063C5,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#FF8484,#943A3A,#000000
0xC6,0x20,#FFFFFF,#7BFF31,#0063C5,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#FF8484,#943A3A,#000000
0x18,0x49,#FFFFFF,#7BFF31,#0063C5,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#FF8484,#943A3A,#000000
0x66,0x4C,#FFFFFF,#7BFF31,#0063C5,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#FF8484,#943A3A,#000000
0x95,,#FFFFFF,#52FF00,#FF4200,#000000,#FFFFFF,#52FF00,#FF4200,#000000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0xB3,0x52,#FFFFFF,#52FF00,#FF4200,#000000,#FFFFFF,#52FF00,#FF4200,#000000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0x3E,,#FFFFFF,#FF9C00,#FF0000,#000000,#FFFFFF,#FF9C00,#FF0000,#000000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0xE0,,#FFFFFF,#FF9C00,#FF0000,#000000,#FFFFFF,#FF9C00,#FF0000,#000000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0xF2,,#FFFFFF,#FFFF00,#FF0000,#000000,#FFFFFF,#FFFF00,#FF0000,#000000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0x69,,#FFFFFF,#FFFF00,#FF0000,#000000,#FFFFFF,#FFFF00,#FF0000,#000000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0x0D,0x52,#FFFFFF,#FFFF00,#FF0000,#000000,#FFFFFF,#FFFF00,#FF0000,#000000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0x59,,#FFFFFF,#ADAD84,#42737B,#000000,#FFFFFF,#FF7300,#944200,#000000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0xC6,0x41,#FFFFFF,#ADAD84,#42737B,#000000,#FFFFFF,#FF7300,#944200,#000000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0xA8,,#FFFF9C,#94B5FF,#639473,#003A3A,#FFC542,#FFD600,#943A00,#4A0000,#FFFFFF,#FF8484,#943A3A,#000000
0x86,,#FFFF9C,#94B5FF,#639473,#003A3A,#FFC542,#FFD600,#943A00,#4A0000,#FFFFFF,#FF8484,#943A3A,#000000
0xD1,,#6BFF00,#FFFFFF,#FF524A,#000000,#FFFFFF,#FFFFFF,#63A5FF,#0000FF,#FFFFFF,#FFAD63,#843100,#000000
0xF0,,#6BFF00,#FFFFFF,#FF524A,#000000,#FFFFFF,#FFFFFF,#63A5FF,#0000FF,#FFFFFF,#FFAD63,#843100,#000000
0xCE,,#6BFF00,#FFFFFF,#FF524A,#000000,#FFFFFF,#FFFFFF,#63A5FF,#0000FF,#FFFFFF,#FFAD63,#843100,#000000
0xBF,0x43,#6BFF00,#FFFFFF,#FF524A,#000000,#FFFFFF,#FFFFFF,#63A5FF,#0000FF,#FFFFFF,#FFAD63,#843100,#000000
0x36,,#52DE00,#FF8400,#FFFF00,#FFFFFF,#FFFFFF,#FFFFFF,#63A5FF,#0000FF,#FFFFFF,#FF8484,#943A3A,#000000
0x5C,,#A59CFF,#FFFF00,#006300,#000000,#FF6352,#D60000,#630000,#000000,#0000FF,#FFFFFF,#FFFF7B,#0084FF
0x49,,#A59CFF,#FFFF00,#006300,#000000,#FF6352,#D60000,#630000,#000000,#0000FF,#FFFFFF,#FFFF7B,#0084FF
0xB3,0x42,#A59CFF,#FFFF00,#006300,#000000,#FF6352,#D60000,#630000,#000000,#0000FF,#FFFFFF,#FFFF7B,#0084FF
0x27,0x42,#A59CFF,#FFFF00,#006300,#000000,#FF6352,#D60000,#630000,#000000,#0000FF,#FFFFFF,#FFFF7B,#0084FF
0xC9,,#FFFFCE,#63EFEF,#9C8431,#5A5A5A,#FFFFFF,#FF7300,#944200,#000000,#FFFFFF,#63A5FF,#0000FF,#000000
0x4E,,#FFFFFF,#63A5FF,#0000FF,#000000,#FFFFFF,#FF8484,#943A3A,#000000,#FFFFFF,#FFFF7B,#0084FF,#FF0000
0x6B,,#FFFFFF,#8C8CDE,#52528C,#000000,#FFC542,#FFD600,#943A00,#4A0000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0x18,0x4B,#FFFFFF,#8C8CDE,#52528C,#000000,#FFC542,#FFD600,#943A00,#4A0000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
0x6A,0x4B,#FFFFFF,#8C8CDE,#52528C,#000000,#FFC542,#FFD600,#943A00,#4A0000,#FFFFFF,#5ABDFF,#FF0000,#0000FF
